epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2326,2.55025,4.4197,2.04374,0.00334,0.31818,0.01047,0.00214,1.81017,4.17252,1.90911,8.335e-05,8.335e-05,8.335e-05
2,35.5625,1.75079,3.74843,1.535,0.00576,0.86364,0.29056,0.13819,1.53669,3.65807,1.29868,0.000179739,0.000179739,0.000179739
3,52.7336,1.58062,2.8679,1.31302,0.00636,0.95455,0.44999,0.19617,1.38347,3.35177,1.15198,0.000272168,0.000272168,0.000272168
4,70.0804,1.4523,2.32779,1.22414,0.00636,0.95455,0.42655,0.19611,1.358,3.28394,1.12133,0.000360635,0.000360635,0.000360635
5,87.5063,1.44634,2.18246,1.224,0.00637,0.95455,0.38309,0.17842,1.29833,3.3464,1.12429,0.000445142,0.000445142,0.000445142
6,104.926,1.38374,1.90534,1.21318,0.00636,0.95455,0.41163,0.21849,1.39398,3.25235,1.24091,0.000525688,0.000525688,0.000525688
7,122.498,1.32025,1.8274,1.17664,0.00605,0.86364,0.26615,0.16204,1.40173,3.34231,1.31007,0.000602274,0.000602274,0.000602274
8,140.329,1.22048,1.67326,1.1589,0.01578,0.68182,0.42463,0.2339,1.48161,3.19252,1.34847,0.000674898,0.000674898,0.000674898
9,158.066,1.19867,1.55413,1.12501,0.92332,0.25266,0.40563,0.23836,1.40609,2.99466,1.35213,0.000743562,0.000743562,0.000743562
10,175.862,1.20066,1.60084,1.10455,0.81231,0.18182,0.32946,0.1839,1.50137,2.92523,1.3942,0.000808265,0.000808265,0.000808265
11,193.556,1.18296,1.51616,1.1341,0.96223,0.22727,0.39469,0.21737,1.53867,2.79309,1.36471,0.000869007,0.000869007,0.000869007
12,211.017,1.17708,1.39172,1.15703,1,0.29527,0.7123,0.43547,1.49122,2.59638,1.3367,0.000925788,0.000925788,0.000925788
13,228.525,1.25512,1.41684,1.12061,1,0.12451,0.32635,0.14404,1.73699,3.10274,1.47267,0.000978609,0.000978609,0.000978609
14,246.025,1.24145,1.38703,1.0963,0.8829,0.24069,0.51128,0.28376,1.54153,2.7451,1.38037,0.00102747,0.00102747,0.00102747
15,263.581,1.11789,1.22878,1.04825,0.87131,0.3627,0.45342,0.27599,1.50034,2.60709,1.33446,0.00107237,0.00107237,0.00107237
16,281.039,1.25262,1.38665,1.18899,0.86469,0.22727,0.41675,0.25856,1.53556,2.85329,1.41544,0.00111331,0.00111331,0.00111331
17,298.42,1.1909,1.3208,1.12138,0.83278,0.33344,0.57199,0.32936,1.53527,2.77515,1.38264,0.00113889,0.00113889,0.00113889
18,316.022,1.15448,1.306,1.13587,0.76855,0.50869,0.60275,0.41644,1.34858,2.19591,1.28256,0.00110589,0.00110589,0.00110589
19,333.909,1.10915,1.2437,1.0802,0.78482,0.56342,0.60704,0.41979,1.32362,2.20983,1.24794,0.00107288,0.00107288,0.00107288
20,351.65,1.0832,1.15108,1.08559,0.81371,0.59403,0.61936,0.38171,1.35702,2.26033,1.25938,0.00103987,0.00103987,0.00103987
21,369.133,1.05625,1.13461,1.07078,0.85314,0.63549,0.71209,0.47317,1.39242,2.05025,1.31461,0.00100687,0.00100687,0.00100687
22,386.574,1.07225,1.13409,1.0895,0.61861,0.62423,0.62707,0.40741,1.49102,2.15643,1.34061,0.000973861,0.000973861,0.000973861
23,403.957,1.04837,1.08023,1.05097,0.55564,0.52577,0.54704,0.35759,1.42768,2.16381,1.29409,0.000940855,0.000940855,0.000940855
24,421.343,1.02182,1.05384,1.03096,0.40519,0.54545,0.43666,0.29974,1.37521,2.41102,1.26974,0.000907848,0.000907848,0.000907848
25,438.715,0.9943,0.97161,0.98677,0.42418,0.57241,0.45074,0.32495,1.33155,2.36313,1.23517,0.000874842,0.000874842,0.000874842
26,456.098,1.014,1.09588,1.01367,0.58283,0.42948,0.47883,0.33354,1.21087,2.18384,1.20855,0.000841835,0.000841835,0.000841835
27,473.495,0.98111,0.97346,0.95603,0.67309,0.46329,0.5257,0.37876,1.1752,2.02673,1.20758,0.000808828,0.000808828,0.000808828
28,490.901,1.02281,1.00103,0.99477,0.79247,0.63102,0.68522,0.47253,1.1957,1.61776,1.21011,0.000775822,0.000775822,0.000775822
29,508.273,1.0006,0.93798,1.01378,0.83655,0.59091,0.63812,0.44771,1.26325,1.58992,1.28457,0.000742815,0.000742815,0.000742815
30,525.76,0.9938,1.00161,1.02568,0.72274,0.59091,0.59318,0.43389,1.2554,1.62412,1.36147,0.000709809,0.000709809,0.000709809
31,543.098,0.98763,0.99104,1.01296,0.71545,0.59091,0.63086,0.46193,1.23006,1.61399,1.31895,0.000676802,0.000676802,0.000676802
32,560.555,0.92949,0.91805,0.98586,0.92383,0.68769,0.78563,0.5959,1.02821,1.52167,1.10371,0.000643795,0.000643795,0.000643795
33,577.875,0.95059,0.9493,0.99652,0.93408,0.73961,0.8316,0.60588,1.07468,1.47393,1.12173,0.000610789,0.000610789,0.000610789
34,595.229,0.92508,0.85987,0.97056,0.94149,0.8107,0.84926,0.61664,1.13656,1.43472,1.12215,0.000577782,0.000577782,0.000577782
35,612.581,0.95681,0.93306,1.01395,0.9067,0.80614,0.8553,0.6271,1.1669,1.40929,1.14461,0.000544776,0.000544776,0.000544776
36,629.903,0.88842,0.90945,0.9567,0.90525,0.83986,0.87792,0.64478,1.13181,1.27582,1.1573,0.000511769,0.000511769,0.000511769
37,647.152,0.88215,0.87368,0.97615,0.90622,0.84353,0.87338,0.63898,1.09482,1.20191,1.17161,0.000478762,0.000478762,0.000478762
38,664.464,0.92035,0.94601,0.97625,0.90897,0.86249,0.86783,0.61808,1.08154,1.13278,1.17006,0.000445756,0.000445756,0.000445756
39,681.741,0.89802,0.79644,0.95677,0.89979,0.8933,0.8824,0.62778,1.09014,1.11278,1.17286,0.000412749,0.000412749,0.000412749
40,699.007,0.88163,0.92718,0.98799,0.8914,0.90298,0.88261,0.62211,1.10241,1.10518,1.17335,0.000379743,0.000379743,0.000379743
41,716.337,0.91994,1.0119,0.98264,0.89151,0.86364,0.87483,0.61905,1.08885,1.14795,1.15727,0.000346736,0.000346736,0.000346736
42,733.516,0.91465,0.97557,1.02447,0.82378,0.86397,0.82118,0.58358,1.12403,1.32088,1.1504,0.000313729,0.000313729,0.000313729
43,750.647,0.83213,0.98208,0.9558,0.78027,0.88408,0.82291,0.61185,1.1035,1.2854,1.13305,0.000280723,0.000280723,0.000280723
44,767.941,0.82344,0.9362,0.98565,0.86248,0.85255,0.8329,0.60783,1.02332,1.08827,1.07791,0.000247716,0.000247716,0.000247716
45,785.251,0.78412,0.87541,0.9595,0.83674,0.86364,0.85047,0.62322,1.02083,1.03505,1.06954,0.00021471,0.00021471,0.00021471
46,802.627,0.78299,0.88173,0.91708,0.81237,0.89935,0.86774,0.62512,1.02835,1.04918,1.07258,0.000181703,0.000181703,0.000181703
47,819.946,0.76426,0.85415,0.92407,0.8165,0.89952,0.87052,0.62356,1.03756,1.03876,1.07711,0.000148696,0.000148696,0.000148696
48,837.125,0.7265,0.85149,0.93463,0.8188,0.90396,0.86811,0.61824,1.04274,1.00932,1.08556,0.00011569,0.00011569,0.00011569
49,854.281,0.77397,0.85239,0.9395,0.81618,0.90209,0.87025,0.61668,1.03983,0.9941,1.08876,8.26832e-05,8.26832e-05,8.26832e-05
50,871.447,0.77475,0.83841,0.95889,0.81565,0.89991,0.87785,0.63426,1.03402,0.97629,1.08784,4.96766e-05,4.96766e-05,4.96766e-05
